epoch,accuracy,loss,val_accuracy,val_loss
0,0.7789938449859619,0.587498664855957,0.6184871196746826,1.0836595296859741
1,0.7587921023368835,0.6403912305831909,0.6562796235084534,0.9019670486450195
2,0.7619171142578125,0.6289306879043579,0.6478487849235535,0.9302548766136169
3,0.7663989663124084,0.6200916767120361,0.6561722159385681,0.9050992727279663
4,0.7684428691864014,0.6146904826164246,0.6529361605644226,0.9225834012031555
5,0.7696117758750916,0.6104702949523926,0.5699089169502258,1.1156153678894043
6,0.7727496027946472,0.6017093062400818,0.6357153654098511,0.9418573379516602
7,0.7739211320877075,0.5962625741958618,0.6518586874008179,0.9301457405090332
8,0.7762619853019714,0.5917706489562988,0.6451236605644226,0.9261801838874817
9,0.7772645354270935,0.5903074741363525,0.6538914442062378,0.9448944926261902
10,0.7801636457443237,0.5833553671836853,0.6475933194160461,0.9239493608474731
11,0.7813377976417542,0.5789524912834167,0.6124926209449768,1.028327226638794
