epoch,accuracy,loss,val_accuracy,val_loss
0,0.7508670687675476,0.65871661901474,0.6041172742843628,1.1296513080596924
1,0.7275151610374451,0.7185068130493164,0.5639218091964722,1.1014692783355713
2,0.7300193309783936,0.7114967703819275,0.6336826086044312,0.9716182351112366
3,0.7311908602714539,0.70725017786026,0.6368150115013123,0.9487074017524719
4,0.7328888177871704,0.703929603099823,0.6367631554603577,0.9529781937599182
5,0.734716534614563,0.7009544372558594,0.6301836371421814,0.9589176177978516
6,0.735628604888916,0.6965178847312927,0.6014440059661865,1.011443018913269
7,0.7360668182373047,0.6950393319129944,0.6230190992355347,0.9946312308311462
8,0.7384412288665771,0.6893997192382812,0.6380220651626587,0.9515249133110046
9,0.7393065094947815,0.6865164041519165,0.6001036763191223,1.0229859352111816
10,0.7391287088394165,0.6877914071083069,0.6271549463272095,0.9654456377029419
11,0.7414307594299316,0.6815580129623413,0.6108264327049255,0.9982277154922485
12,0.7432059049606323,0.6779587268829346,0.6147030591964722,0.9929388761520386
13,0.7428635358810425,0.6789737939834595,0.6437574028968811,0.9469190835952759
14,0.7438210248947144,0.6759201288223267,0.5953643321990967,1.0370968580245972
15,0.7444123029708862,0.6752412915229797,0.6357671618461609,0.949073076248169
16,0.7437685132026672,0.6751296520233154,0.620145857334137,0.9966315627098083
17,0.7463476657867432,0.6677706241607666,0.6039173603057861,1.028342843055725
18,0.7462144494056702,0.6697394847869873,0.617257833480835,0.9875009059906006
19,0.7473775744438171,0.6668264269828796,0.6536544561386108,0.9072343111038208
20,0.7488743662834167,0.6625000238418579,0.6443609595298767,0.9262650012969971
21,0.7484140992164612,0.6642506122589111,0.6419357061386108,0.958258867263794
22,0.7489127516746521,0.6631302833557129,0.5999740958213806,1.0306898355484009
23,0.7510978579521179,0.6584181189537048,0.6405768394470215,0.9376171827316284
24,0.749543309211731,0.6597392559051514,0.6385774612426758,0.9506215453147888
25,0.7512690424919128,0.6564615964889526,0.6289136409759521,0.9606118202209473
26,0.752834677696228,0.6519598364830017,0.6504813432693481,0.9174565672874451
27,0.7521961331367493,0.6533888578414917,0.6357264518737793,0.9701483845710754
28,0.7521780729293823,0.6533273458480835,0.6452495455741882,0.9238669276237488
29,0.7528946399688721,0.6512473821640015,0.620938241481781,0.9771512150764465
